id,file,engine_id,sensor,extractor,n_mentions,context,human
19,traces_FD001_zero_shot_k0_n30.json,49,s14,decrease,1,"...rs such as s11 (0.690 at t-1) and s12 (0.337 at t-1). Conversely, efficiency-related sensors like s9 (0.138 at t-1) and s14 (0.168 at t-1) are decreasing, indicating a decline in performance. The increasing variance in these sensor readings suggests that the engine is approaching fa...",decrease
20,traces_FD001_zero_shot_k0_n30_run4.json,93,s14,decrease,1,"...0.488) and s12 (0.420), indicating a decline in performance. Conversely, efficiency-related sensors like s9 (0.238) and s14 (0.287) are decreasing, suggesting reduced efficiency. The trend suggests that the engine is approaching failure within the next 23 operational cycles.",decrease
21,traces_FD003_few_shot_k10.json,65,s11,absent,0,,absent
22,traces_FD001_zero_shot_k0_n30_run2.json,3,s11,increase,1,"The turbofan engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.613 at t-1) and s12 (0.456 at t-1). Conversely, efficiency-related sensors like s9 (0.124 at t-1) and s14 (0.163 at t-1) are trending downwards, indicating ...",increase
23,traces_FD001_zero_shot_k0_n15.json,17,s9,decrease,1,"...s12, and s15, suggesting advanced wear. Additionally, there is a noticeable decrease in efficiency-related sensors like s9 and s14, further indicating impending failure.",decrease
24,traces_FD003_zero_shot_k0_n30.json,26,s15,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Meanwhile, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. These trends suggest that the engine is approaching ...",increase
25,traces_FD001_zero_shot_k0_n30_run3.json,91,s14,decrease,1,"...rs such as s11 (0.690 at t-1) and s12 (0.484 at t-1). Conversely, efficiency-related sensors like s9 (0.136 at t-1) and s14 (0.123 at t-1) are trending downwards, indicating a decline in performance. The overall trend suggests that the engine is approaching failure within the next 2...",decrease
26,traces_FD003_few_shot_k3_n30.json,50,s7,absent,0,,absent
27,traces_FD001_zero_shot_k0_n15.json,36,s11,increase,1,"The sensor readings show a gradual increase in values for degradation-related sensors such as s11, s12, and s15, indicating advanced wear. In contrast, efficiency-related sensors like s9 and s14 exhibit decreasing values, further supporting the trend of inc...",increase
28,traces_FD003_few_shot_k3.json,38,s7,increase,1,"The engine exhibits a pattern of gradual wear, with increasing deviations in efficiency sensors (s7 and s8) over the last five cycles. This is consistent with the reference example of advanced wear, suggesting that the engine has approximately 25 cycles remai...",unspecified
29,traces_FD001_zero_shot_k0_n15.json,38,s15,absent,0,,absent
30,traces_FD001_few_shot_k5.json,25,s4,absent,0,,absent
31,traces_FD001_zero_shot_k0_n30_run3.json,85,s11,increase,1,"The turbofan engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.524) and s12 (0.584), indicating a decline in performance. Conversely, efficiency-related sensors like s9 (0.105) and s14 (0.138) are decreasing, suggesting...",increase
32,traces_FD003_zero_shot_k0_n30.json,64,s9,decrease,1,"The efficiency-related sensors s9 and s14 show a consistent decrease in value, indicating advanced wear. Meanwhile, the degradation-related sensors s11 and s12 exhibit increasing values, sugges...",decrease
33,traces_FD003_zero_shot_k0.json,73,s14,decrease,1,"The sensor readings show a consistent increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. Additionally, increasing variance is observed across several sensors, further supporting the conclusi...",decrease
34,traces_FD001_few_shot_k3_n15.json,14,s12,absent,0,,absent
35,traces_FD001_zero_shot_k0_n30.json,55,s11,increase,1,"The turbofan engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.387 at t-1) and s12 (0.689 at t-1). Conversely, efficiency-related sensors like s9 (0.154 at t-1) and s14 (0.184 at t-1) are trending downwards, indicating ...",increase
36,traces_FD003_zero_shot_k0.json,10,s9,decrease,1,"The trend of increasing values for s11 (0.354 -> 0.400 -> 0.406) and decreasing values for s9 (0.217 -> 0.254 -> 0.208) suggests advanced wear, indicating a potential failure in the near future. Additionally, the monotonic drift in s15 (0.599 -> 0.668 -...",decrease
37,traces_FD003_zero_shot_k0_n15.json,100,s12,increase,1,"... consistent decrease in value over time, indicating advanced wear. In contrast, the degradation-related sensors s11 and s12 exhibit an increasing trend, suggesting accelerated degradation. The variance of these sensors also shows an upward trend, further supporting the conclusion th...",increase
38,traces_FD003_zero_shot_k0_n30.json,60,s9,decrease,1,"...tion-related sensors such as s11, s12, and s15, suggesting advanced wear. Additionally, efficiency-related sensors like s9 and s14 show decreasing values, further indicating approaching failure. The monotonic drift of these sensors suggests that the engine is likely to fail within ...",decrease
39,traces_FD001_zero_shot_k0.json,20,s15,unspecified,1,"...ith increasing values in degradation-related sensors such as s11 (trend: 0.613 -> 0.762 -> 0.696 -> 0.714 -> 0.762) and s15 (trend: 0.167 -> 0.593 -> 0.549 -> 0.810). Conversely, efficiency-related sensors like s9 and s14 are decreasing, indicating a decline in performance. The incr...",increase
40,traces_FD001_zero_shot_k0_n30.json,13,s12,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. In contrast, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. Additionally, the variance of these senso...",increase
41,traces_FD001_few_shot_k10.json,59,s7,unspecified,1,"The engine's sensor readings indicate advanced wear, particularly in efficiency sensors (s7 and s8), with values consistently above 0.6. This pattern is similar to the reference examples provided, suggesting a moderate level of degradation that would ...",unspecified
42,traces_FD001_few_shot_k10_n15.json,65,s7,unspecified,1,"... engine's sensor readings indicate significant deviations from normal behavior, particularly in the efficiency sensors (s7 and s8), suggesting advanced wear. The patterns observed are consistent with those of a worn-out engine, indicating a remaining useful life estimate of approxi...",unspecified
43,traces_FD003_few_shot_k5.json,34,s11,unspecified,1,"...lar to the reference example with true RUL=0. Sensor readings show significant deviations in efficiency sensors (s8 and s11) and moderate deviations in other sensors, indicating a high likelihood of impending failure within the next few cycles.",unspecified
44,traces_FD001_zero_shot_k0_n30_run3.json,14,s14,decrease,1,"...h as s11 (0.429 to 0.512) and s12 (0.420 to 0.529). Conversely, efficiency-related sensors like s9 (0.057 to 0.070) and s14 (0.092 to 0.094) are decreasing, indicating a decline in performance. The increasing trend in these sensors suggests that the engine is approaching failure wit...",decrease
45,traces_FD003_few_shot_k10.json,7,s7,unspecified,1,"The engine's sensor readings indicate advanced wear, with significant deviations in efficiency sensors (s7 and s8) across multiple cycles. This pattern is consistent with the provided examples of engines with a true RUL of 0, suggesting that the engine is nearing fa...",unspecified
46,traces_FD001_zero_shot_k0_n15.json,19,s15,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. Additionally, increasing variance is observed in se...",increase
47,traces_FD001_zero_shot_k0_n15.json,20,s11,increase,1,"The turbofan engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.708 to 0.762) and s12 (0.407 to 0.441), indicating a decline in performance. Conversely, efficiency-related sensors like s9 (0.191 to 0.177) and s14 (0.223 ...",increase
48,traces_FD003_zero_shot_k0.json,58,s12,increase,1,"The sensor readings indicate a gradual increase in degradation-related sensors such as s11, s12, and s15, suggesting advanced wear. Conversely, efficiency-related sensors like s9 and s14 show decreasing values, consistent with the expected trend of approa...",increase
49,traces_FD001_zero_shot_k0_n30_run3.json,21,s14,decrease,1,"... such as s11 (0.363 at t-1) and s12 (0.710 at t-1). Additionally, efficiency-related sensors like s9 (0.294 at t-1) and s14 (0.354 at t-1) are decreasing, indicating a decline in performance. The engine's degradation pattern suggests an imminent failure within the next 23 operationa...",decrease
50,traces_FD001_few_shot_k10_n30.json,72,s12,absent,0,,absent
51,traces_FD003_zero_shot_k0.json,40,s11,increase,1,"The sensor readings show a steady increase in s11, s12, and s15, indicating advanced wear and potential failure. Conversely, efficiency-related sensors s9 and s14 exhibit decreasing values, further supporting ...",increase
52,traces_FD001_zero_shot_k0_n30.json,22,s14,decrease,1,"...rs such as s11 (0.470 at t-3) and s12 (0.710 at t-3). Conversely, efficiency-related sensors like s9 (0.116 at t-3) and s14 (0.136 at t-3) are decreasing, indicating a decline in performance. The increasing variance and monotonic drift in these sensor trends suggest that the engine ...",decrease
53,traces_FD003_zero_shot_k0_n30.json,7,s12,unspecified,1,"... showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.651 to 0.594) and s12 (0.147 to 0.133). Conversely, efficiency-related sensors like s9 (0.077 to 0.114) and s14 (0.102 to 0.111) are decreasing, indicating a decline in performance....",increase
54,traces_FD001_zero_shot_k0_n30_run2.json,17,s9,decrease,1,"...alues in sensors s11 (0.417) and s12 (0.603), indicating significant degradation. Meanwhile, efficiency-related sensors s9 (0.328) and s14 (0.372) are trending downwards, suggesting a decline in performance. The overall trend suggests that the engine is approaching failure within t...",decrease
55,traces_FD001_zero_shot_k0_n30_run4.json,1,s12,decrease,1,"...engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.339) and s12 (0.789), indicating a decline in performance. Conversely, efficiency-related sensors like s9 (0.109) and s14 (0.171) are trending downwards, suggesting reduced...",increase
56,traces_FD001_zero_shot_k0_n30.json,29,s14,decrease,1,"...h as s11 (0.244 to 0.339) and s12 (0.537 to 0.614). Conversely, efficiency-related sensors like s9 (0.210 to 0.235) and s14 (0.240 to 0.244) are trending downwards, indicating a decline in performance. The overall trend suggests that the engine is approaching failure within the next...",decrease
57,traces_FD003_few_shot_k3_n15.json,24,s12,absent,0,,absent
58,traces_FD001_zero_shot_k0_n15.json,87,s12,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting efficiency loss. Additionally, increasing variance is observed...",increase
59,traces_FD003_few_shot_k10.json,58,s7,unspecified,1,"The engine's sensor readings indicate advanced wear, with significant deviations in efficiency sensors (s7 and s8) across multiple cycles. This pattern is consistent with the provided examples of engines with a true RUL of 0, suggesting that the engine is nearing fa...",unspecified
60,traces_FD001_few_shot_k3_n15.json,63,s12,unspecified,1,"... wear, with significant deviations in efficiency sensors (s7 and s8) and some anomalies in temperature sensors (s11 and s12). However, the overall trend suggests that the engine is not yet at critical failure point, but rather experiencing a gradual degradation.",unspecified
61,traces_FD001_zero_shot_k0_n15.json,48,s7,unspecified,1,"...g values, suggesting reduced efficiency. Additionally, increasing variance is observed in several sensors, particularly s7 and s20, which further supports the indication of impending failure.",unspecified
62,traces_FD003_zero_shot_k0_n15.json,37,s11,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. Additionally, increasing variance is ...",increase
63,traces_FD001_zero_shot_k0_n30_run3.json,69,s7,absent,0,,absent
64,traces_FD001_zero_shot_k0_n15.json,90,s14,decrease,1,"...such as s11 (trend: 0.458 -> 0.720) and s12 (trend: 0.409 -> 0.561). Conversely, efficiency-related sensors like s9 and s14 are decreasing, indicating a decline in performance. The variance of these sensors is also increasing, suggesting an imminent failure.",decrease
65,traces_FD001_zero_shot_k0_n30_run4.json,63,s4,absent,0,,absent
66,traces_FD001_zero_shot_k0_n30_run4.json,47,s11,increase,1,"The turbofan engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.452 to 0.607) and s12 (0.493 to 0.768). Conversely, efficiency-related sensors like s9 (0.060 to 0.124) and s14 (0.094 to 0.132) are decreasing, indicating ...",increase
67,traces_FD001_zero_shot_k0_n15.json,17,s15,unspecified,1,"The sensor readings indicate a gradual increase in degradation-related sensors such as s11, s12, and s15, suggesting advanced wear. Additionally, there is a noticeable decrease in efficiency-related sensors like s9 and s14, further indicating impending failure.",increase
68,traces_FD001_zero_shot_k0_n30_run2.json,100,s14,decrease,1,"...veals a steady increase in s11, s12, and s15 values, indicating advanced wear and potential failure. Conversely, s9 and s14 show decreasing values, suggesting efficiency loss. The monotonic drift of these sensors suggests an impending failure within the next few cycles.",decrease
69,traces_FD003_few_shot_k3_n30.json,81,s7,absent,0,,absent
70,traces_FD001_zero_shot_k0_n30.json,75,s9,decrease,1,"...radation-related sensors such as s11 (0.518 at t-3) and s12 (0.755 at t-2). Conversely, efficiency-related sensors like s9 (0.165 at t-2) and s14 (0.187 at t-2) are decreasing, indicating a decline in performance. The increasing variance and monotonic drift in these sensor trends s...",decrease
71,traces_FD001_few_shot_k5_n15.json,41,s12,unspecified,1,"... wear, with significant deviations in efficiency sensors (s7 and s8) and some anomalies in temperature sensors (s11 and s12). However, the overall trend is not as severe as Example 1, suggesting that the engine still has a considerable amount of life left.",unspecified
72,traces_FD001_zero_shot_k0.json,39,s14,stable,1,"...lues, indicating advanced wear in the engine's compressor or turbine. Meanwhile, efficiency-related sensors like s9 and s14 display relatively stable values, suggesting that other components are still functioning within normal limits. However, the overall pattern suggests that the e...",stable
73,traces_FD001_zero_shot_k0.json,12,s14,stable,1,"... values, indicating advanced wear in the engine's compressor or turbine. In contrast, efficiency-related sensors s9 and s14 display relatively stable low values, suggesting some level of degradation. However, the overall pattern does not indicate imminent failure, allowing for appro...",stable
74,traces_FD003_zero_shot_k0.json,34,s15,increase,1,"... s14 show a consistent decrease in values, indicating advanced wear. Meanwhile, the degradation-related sensors s11 and s15 exhibit increasing values, suggesting accelerated degradation. However, the variance of these sensors does not show significant increase, which might indicate ...",increase
75,traces_FD001_few_shot_k5.json,30,s11,unspecified,1,"...he engine exhibits a moderate level of wear, with deviations in efficiency sensors (s7 and s8) and temperature sensors (s11 and s12). However, the rate of change is slower compared to Example 1, indicating that the engine has some remaining life but is likely nearing the end of its ...",unspecified
76,traces_FD001_zero_shot_k0_n30.json,65,s12,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Meanwhile, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. These trends suggest that the engine is app...",increase
77,traces_FD003_few_shot_k5.json,27,s15,absent,0,,absent
78,traces_FD001_zero_shot_k0.json,66,s14,decrease,1,"...: 0.560 -> 0.720 -> 0.637) and s15 (trend: 0.674 -> 0.680 -> 0.611). Conversely, efficiency-related sensors like s9 and s14 are decreasing, indicating a decline in performance. The increasing variance in these sensors also suggests that the engine is approaching failure.",decrease
79,traces_FD001_zero_shot_k0_n30_run3.json,65,s14,decrease,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. Additionally, increasing variance is observed in several sensors, further supporting the conclusion o...",decrease
80,traces_FD001_zero_shot_k0_n30.json,87,s12,decrease,1,"...engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.327) and s12 (0.738), indicating a decline in performance. Conversely, efficiency-related sensors like s9 (0.158) and s14 (0.243) are trending downwards, suggesting reduced...",increase
81,traces_FD003_zero_shot_k0_n30.json,94,s7,absent,0,,absent
82,traces_FD001_few_shot_k3_n15.json,41,s7,unspecified,1,"The engine exhibits a moderate level of wear, with significant deviations in efficiency sensors (s7 and s8) and some anomalies in temperature sensors (s11 and s12). However, the overall trend is not as severe as Example 1, suggesting that the engine still has...",unspecified
83,traces_FD001_zero_shot_k0_n30_run3.json,38,s12,unspecified,1,"...is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.667 at t-3) and s12 (0.475 at t-3). Conversely, efficiency-related sensors like s9 (0.271 at t-3) and s14 (0.305 at t-3) are decreasing, indicating a decline in performance. The i...",increase
84,traces_FD003_few_shot_k5_n15.json,32,s7,decrease,1,"...gradual degradation, with increasing deviations from normal operating conditions. Specifically, the efficiency sensors (s7 and s8) show a consistent decline in readings, indicating potential wear on the compressor or turbine blades. This trend is similar to Example 1, which had an ...",decrease
85,traces_FD001_zero_shot_k0_n30_run2.json,11,s9,decrease,1,"...ation-related sensors such as s11, s12, and s15, indicating advanced wear. In contrast, efficiency-related sensors like s9 and s14 exhibit lower values, suggesting decreased performance. The monotonic drift of these trends suggests that the engine is approaching failure within the ...",decrease
86,traces_FD003_zero_shot_k0.json,12,s9,decrease,1,"...0.221 to 0.191), indicating advanced wear in these degradation-related sensors. In contrast, efficiency-related sensors s9 and s14 show decreasing values (0.136 to 0.116 and 0.152 to 0.163 respectively), suggesting a decline in engine performance.",decrease
87,traces_FD003_zero_shot_k0_n30.json,93,s14,decrease,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. Additionally, there is an increasing variance in some sensors, which further supports the indication ...",decrease
88,traces_FD001_few_shot_k10.json,48,s7,unspecified,1,"The engine's sensor readings indicate advanced wear, particularly in efficiency sensors (s7 and s8), with significant deviations from normal operating ranges. This pattern is consistent with the provided examples of engines with a true RUL of 0, sugge...",unspecified
89,traces_FD003_zero_shot_k0_n15.json,12,s15,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. The variance of these sensors also shows an increas...",increase
90,traces_FD001_few_shot_k10.json,32,s7,unspecified,1,"The engine's sensor readings show a pattern of advanced wear, with significant deviations in efficiency sensors (s7 and s8) across multiple cycles. This is consistent with the patterns observed in Examples 1-3, indicating that the engine is likely experiencing severe degrada...",unspecified
91,traces_FD001_few_shot_k5.json,55,s11,unspecified,1,"...evel of wear, with deviations in efficiency sensors (s7 and s8) and some signs of advanced wear in temperature sensors (s11 and s12). However, the pattern is not as pronounced as in Example 1, suggesting that the engine still has significant life left but may require maintenance soo...",unspecified
92,traces_FD003_zero_shot_k0_n30.json,23,s15,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Meanwhile, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. These trends suggest that the engine is approaching ...",increase
93,traces_FD003_few_shot_k5_n15.json,91,s7,unspecified,1,"The engine's sensor readings show a gradual decline in efficiency, with significant deviations in sensors s7 and s8. This pattern is consistent with advanced wear, similar to the reference example provided, indicating that the engine has approximately 45 cycles of rem...",unspecified
94,traces_FD001_few_shot_k10.json,15,s9,absent,0,,absent
95,traces_FD001_zero_shot_k0.json,78,s9,stable,1,"...ensors such as s11 (trend: 0.155 -> 0.208) and s12 (trend: 0.800 -> 0.814). Conversely, efficiency-related sensors like s9 (trend: 0.167 -> 0.185) and s14 (trend: 0.250 -> 0.250) are relatively stable or decreasing, indicating a shift towards reduced performance.",ambiguous
96,traces_FD003_zero_shot_k0_n30.json,42,s14,decrease,1,"...elated sensors such as s11, s12, and s15, suggesting advanced wear. In contrast, efficiency-related sensors like s9 and s14 show relatively stable or decreasing values, indicating a potential loss of performance. The overall trend suggests that the engine is approaching failure, but...",ambiguous
97,traces_FD001_zero_shot_k0_n30_run4.json,4,s12,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. These trends suggest that the engine is ap...",increase
98,traces_FD003_few_shot_k5_n30.json,74,s12,absent,0,,absent
99,traces_FD001_zero_shot_k0.json,39,s9,stable,1,"...sing values, indicating advanced wear in the engine's compressor or turbine. Meanwhile, efficiency-related sensors like s9 and s14 display relatively stable values, suggesting that other components are still functioning within normal limits. However, the overall pattern suggests th...",stable
100,traces_FD003_zero_shot_k0_n15.json,29,s15,increase,1,"The recent trend shows increasing values for s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 show decreasing values, suggesting a decline in efficiency. Additionally, the variance of these sensors has i...",increase
101,traces_FD001_few_shot_k5.json,34,s9,unspecified,1,"...o the reference example with true RUL=0. Sensor readings show significant deviations in efficiency sensors (s7, s8, and s9) across multiple cycles, indicating a high likelihood of impending failure.",unspecified
102,traces_FD003_few_shot_k10_n15.json,76,s7,decrease,1,"...dings, it appears that the engine is experiencing advanced wear, particularly in the efficiency sensors. The values for s7 and s8 are consistently lower than normal, indicating a potential issue with the engine's combustion process.",unspecified
103,traces_FD001_zero_shot_k0_n30_run2.json,81,s14,decrease,1,"...elated sensors such as s11, s12, and s15, indicating advanced wear. In contrast, efficiency-related sensors like s9 and s14 exhibit decreasing values, further supporting the indication of approaching failure.",decrease
104,traces_FD001_zero_shot_k0_n30_run4.json,2,s11,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. These trends suggest that the engine ...",increase
105,traces_FD001_zero_shot_k0.json,69,s9,decrease,1,"...0.333 -> 0.310) and s12 (trend: 0.657 -> 0.608 -> 0.667 -> 0.706 -> 0.672). Conversely, efficiency-related sensors like s9 and s14 are decreasing, indicating a decline in performance.",decrease
106,traces_FD001_zero_shot_k0.json,12,s9,stable,1,"...reasing values, indicating advanced wear in the engine's compressor or turbine. In contrast, efficiency-related sensors s9 and s14 display relatively stable low values, suggesting some level of degradation. However, the overall pattern does not indicate imminent failure, allowing f...",stable
107,traces_FD001_zero_shot_k0_n30_run3.json,19,s9,stable,1,"...17 to 0.393) and s12 (0.712 to 0.674), indicating a decline in performance. Conversely, efficiency-related sensors like s9 (0.163 to 0.194) and s14 (0.216 to 0.208) show relatively stable or slightly increasing values, suggesting that the engine's efficiency is not yet significantl...",ambiguous
108,traces_FD001_zero_shot_k0_n30_run3.json,20,s11,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. Additionally, increasing variance in ...",increase
109,traces_FD003_zero_shot_k0_n30.json,67,s9,decrease,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. The overall trend suggests that the engine is approaching failure, but not yet at imminent ri...",decrease
110,traces_FD001_zero_shot_k0_n30.json,53,s12,decrease,1,"...engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.536) and s12 (0.488), indicating a decline in performance. Conversely, efficiency-related sensors like s9 (0.362) and s14 (0.418) are trending downwards, suggesting reduced...",increase
111,traces_FD001_few_shot_k3.json,100,s7,unspecified,1,"... exhibits a pattern of gradual wear, with increasing deviations from normal operating conditions in efficiency sensors (s7, s8, and s9). This is consistent with the reference example of advanced wear, suggesting that the engine has approximately 23 cycles remaining before failure.",unspecified
112,traces_FD003_zero_shot_k0_n30.json,3,s12,increase,1,"...9 and s14 show a steady decrease in value, indicating advanced wear. Meanwhile, the degradation-related sensors s11 and s12 exhibit increasing values, suggesting accelerated degradation. These opposing trends indicate that the engine is approaching failure, with an estimated remaini...",increase
113,traces_FD001_zero_shot_k0_n30_run2.json,93,s12,decrease,1,"...engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.488) and s12 (0.420), indicating a decline in performance. Conversely, efficiency-related sensors like s9 (0.238) and s14 (0.287) are trending downwards, suggesting reduced...",increase
114,traces_FD003_few_shot_k5.json,59,s15,unspecified,1,"The engine exhibits a moderate level of wear, with deviations in efficiency sensors (s8 and s15) and some signs of advanced wear in temperature sensors (s11). However, the rate of change is not as rapid as in Example 1, suggesting a more gradual degradati...",unspecified
115,traces_FD003_zero_shot_k0.json,39,s9,stable,1,"... and s12 (0.792 to 0.820) suggests advanced wear, while decreasing or stable values for efficiency-related sensors like s9 (0.437 to 0.469) and s14 (0.431 to 0.431) indicate a degradation pattern. The relatively high and increasing values of s15 (0.296 to 0.190) also suggest approa...",ambiguous
